KillTime,Layer
2019-11-14 20:59,No data
2019-11-16 06:35,No data
2019-11-20 01:19,No data
2019-11-21 02:07,No data
2019-11-22 09:11,No data
2019-11-25 17:14,No data
2019-11-27 00:32,No data
2019-12-01 00:28,No data
2019-12-05 06:40,No data
2019-12-09 00:19,No data
2019-12-11 23:55,No data
2019-12-15 18:11,No data
2019-12-19 14:10,No data
2019-12-21 07:46,No data
2019-12-23 23:43,No data
2019-12-26 08:35,No data
2019-12-31 01:03,No data
2020-01-02 10:11,No data
2020-01-05 05:48,No data
2020-01-09 05:05,No data
2020-01-13 04:54,No data
2020-01-15 17:43,No data
2020-01-19 03:22,No data
2020-01-22 18:24,No data
2020-01-26 07:33,No data
2020-01-30 10:48,No data
2020-02-02 15:15,No data
2020-02-05 23:15,No data
2020-02-10 14:45,No data
2020-02-13 09:14,No data
2020-02-14 22:03,No data
2020-02-18 15:36,No data
2020-02-20 10:55,No data
2020-02-25 06:44,No data
2020-02-26 22:14,No data
2020-03-01 13:29,No data
2020-03-05 07:51,No data
2020-03-09 14:39,No data
2020-03-11 22:19,No data
2020-03-16 03:18,No data
2020-03-19 10:02,No data
2020-03-22 18:25,No data
2020-03-26 07:57,No data
2020-03-30 08:21,No data
2020-04-02 08:14,No data
2020-04-05 12:41,No data
2020-04-09 06:35,No data
2020-04-13 09:30,No data
2020-04-17 02:20,No data
2020-04-19 11:17,No data
2020-04-22 18:13,Layer 1
2020-04-26 08:22,Layer 1
2020-04-27 08:43,Layer 2
2020-04-29 19:00,Layer 1
2020-04-30 01:03,Layer 2
2020-05-03 16:59,Layer 2
2020-05-04 15:32,Layer 1
2020-05-06 19:47,Layer 2
